ID,Hemisphere,Region,Punch,Cell_Type,Location,AntPost,DorVen,Organ,Bulk_main,Sort_main,CTX_BG_HIP_relationship,Note
7669_R_O_6_DLX1,R,O,6,DLX1,NEAR_AV,Post,NA,CTX,0,0,0,NA
7669_R_O_7_DLX1,R,O,7,DLX1,NEAR_AD,Post,NA,CTX,0,0,0,NA
7669_R_O_8_DLX1,R,O,8,DLX1,NEAR_PV,Post,NA,CTX,0,0,0,NA
7669_R_O_9_DLX1,R,O,9,DLX1,NEAR_PD,Post,NA,CTX,0,0,0,NA
7669_R_O_11_DLX1,R,O,11,DLX1,FAR_D,Post,NA,CTX,0,0,0,NA
7669_R_T_1_DLX1,R,T,1,DLX1,NA,Post,Ven,CTX,0,1,0,NA
7669_R_Ant_Cau_DLX1,R,Cau,sec1,DLX1,A,Ant,NA,BG,0,1,1,NA
7669_R_Ant_Put_DLX1,R,Put,sec1,DLX1,A,Ant,NA,BG,0,0,1,NA
7669_R_sec2_Thal_DLX1,R,Thal,sec2,DLX1,NA,NA,NA,THAL,0,1,0,NA
7669_R_sec2_GP_DLX1,R,GP,sec2,DLX1,NA,Post,NA,BG,0,1,1,NA
7669_R_sec3_Cau_DLX1,R,Cau,sec3,DLX1,P,Post,NA,BG,0,0,1,NA
7669_R_sec3_Put_DLX1,R,Put,sec3,DLX1,P,Post,NA,BG,0,0,1,NA
7669_R_sec3_Hip_DLX1,R,Hip,sec3,DLX1,NA,NA,NA,HIP,0,1,0,NA
7669_R_POA_DLX1,R,POA,1,DLX1,NA,NA,NA,POA,0,0,0,NA
7669_R_EC_DLX1,L,EC,1,DLX1,NA,NA,Ven,CTX,0,1,0,NA
7669_R_Olf_DLX1,R,Olf,1,DLX1,NA,NA,NA,OLF,0,0,0,NA
7669_R_CCMid_DLX1,R,CC,2,DLX1,NA,NA,Dor,CTX,0,1,0,NA
7669_R_mO_DLX1,R,mO,1,DLX1,NA,Post,NA,CTX,0,1,0,NA
7669_L_F_1_DLX1,L,F,1,DLX1,NA,Ant,NA,CTX,0,1,0,NA
7669_L_P_1_DLX1,L,P,1,DLX1,NA,Post,Dor,CTX,0,1,0,NA
7669_L_I_1_DLX1,L,I,1,DLX1,NA,Post,Ven,CTX,0,1,0,NA
7669_L_T_1_DLX1,L,T,1,DLX1,NA,Post,Ven,CTX,0,1,0,NA
7669_L_sec1_Cau_DLX1,L,Cau,sec1,DLX1,NA,Ant,NA,BG,0,1,0,NA
7669_L_sec1_Put_DLX1,L,Put,sec1,DLX1,A,Ant,NA,BG,0,0,0,NA
7669_L_sec2_Thal_DLX1,L,Thal,sec2,DLX1,NA,NA,NA,THAL,0,1,0,NA
7669_L_sec2_GP_DLX1,L,GP,sec2,DLX1,NA,Post,NA,BG,0,1,0,NA
7669_L_sec3_Hip_DLX1,L,Hip,sec3,DLX1,NA,NA,NA,HIP,0,1,0,NA
7669_R_P_11_TBR1,R,P,11,TBR1,FAR_D,Post,Dor,CTX,0,0,0,NA
7669_R_P_12_TBR1,R,P,12,TBR1,FAR_AD,Post,Dor,CTX,0,0,0,NA
7669_R_P_13_TBR1,R,P,13,TBR1,FAR_A,Post,Dor,CTX,0,0,0,NA
7669_R_P_14_TBR1,R,P,14,TBR1,FAR_AV,Post,Dor,CTX,0,0,0,NA
